p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SERPINE2	0	0.423702768723819	0.387	0.096	0	Melanocyte cells	SERPINE2
GPR143	0	0.41294676385066	0.483	0.093	0	Melanocyte cells	GPR143
IFITM3	0	0.410811439943942	0.794	0.664	0	Melanocyte cells	IFITM3
CD63	0	0.408836499961594	0.952	0.782	0	Melanocyte cells	CD63
MALAT1	0	0.40165086302687	0.973	0.931	0	Melanocyte cells	MALAT1
SERTAD1	0	0.399306166898158	0.433	0.127	0	Melanocyte cells	SERTAD1
MT-ATP8	0	0.399028433741826	0.89	0.886	0	Melanocyte cells	MT-ATP8
SPON2	0	0.398632994920859	0.368	0.086	0	Melanocyte cells	SPON2
APOE	0	0.397438573084406	0.661	0.522	0	Melanocyte cells	APOE
RHOBTB3	0	0.39683313317948	0.496	0.108	0	Melanocyte cells	RHOBTB3
MLPH	0	0.396537529060401	0.517	0.107	0	Melanocyte cells	MLPH
LGALS3BP	0	0.395202021869415	0.487	0.119	0	Melanocyte cells	LGALS3BP
LAPTM4A	0	0.39264480647672	0.641	0.197	0	Melanocyte cells	LAPTM4A
SLC3A2	0	0.391961954692626	0.568	0.152	0	Melanocyte cells	SLC3A2
EFHD1	0	0.389651652005273	0.596	0.187	0	Melanocyte cells	EFHD1
METTL9	0	0.38679349765859	0.71	0.278	0	Melanocyte cells	METTL9
CRTAC1	0	0.384838429444883	0.371	0.061	0	Melanocyte cells	CRTAC1
GAPDHS	0	0.367532671119816	0.4	0.098	0	Melanocyte cells	GAPDHS
EDNRB	0	0.367072301139342	0.324	0.109	0	Melanocyte cells	EDNRB
CTSF	0	0.36486355388499	0.474	0.09	0	Melanocyte cells	CTSF
MT-ND3	0	0.364621475753028	0.947	0.921	0	Melanocyte cells	MT-ND3
MARCKSL1	0	0.361704085970881	0.436	0.147	0	Melanocyte cells	MARCKSL1
FOSB	0	0.360649272551973	0.44	0.157	0	Melanocyte cells	FOSB
RAMP1	0	0.359890106468643	0.451	0.157	0	Melanocyte cells	RAMP1
MT-ATP6	0	0.359340802653545	0.989	0.961	0	Melanocyte cells	MT-ATP6
PAX3	0	0.358227664593931	0.445	0.082	0	Melanocyte cells	PAX3
EMP1	0	0.358108492170055	0.343	0.064	0	Melanocyte cells	EMP1
CD59	0	0.357929615512076	0.66	0.231	0	Melanocyte cells	CD59
MFGE8	0	0.357776633209441	0.434	0.088	0	Melanocyte cells	MFGE8
SNHG7	0	0.355377911149338	0.482	0.247	0	Melanocyte cells	SNHG7
PPP1R15A	0	0.354887767241302	0.522	0.179	0	Melanocyte cells	PPP1R15A
PIR	0	0.352596081003296	0.448	0.13	0	Melanocyte cells	PIR
APP	0	0.351851283151434	0.441	0.106	0	Melanocyte cells	APP
IER2	0	0.349073732052314	0.5	0.195	0	Melanocyte cells	IER2
TFAP2A	0	0.349045167505158	0.412	0.114	0	Melanocyte cells	TFAP2A
MLANA	0	0.341209112008941	0.864	0.698	0	Melanocyte cells	MLANA
BACE2	0	0.3375777922038	0.407	0.068	0	Melanocyte cells	BACE2
LAPTM4B	0	0.334721538995269	0.392	0.073	0	Melanocyte cells	LAPTM4B
AP1S2	0	0.334119590979836	0.761	0.349	0	Melanocyte cells	AP1S2
RAB38	0	0.33242644282608	0.611	0.198	0	Melanocyte cells	RAB38
CD44	0	0.329990615006203	0.91	0.65	0	Melanocyte cells	CD44
NEAT1	0	0.328586389857501	0.663	0.308	0	Melanocyte cells	NEAT1
SGK1	0	0.328487630403097	0.309	0.101	0	Melanocyte cells	SGK1
RPL8	0	0.328328926146799	1	0.987	0	Melanocyte cells	RPL8
GPNMB	0	0.326956244953185	0.506	0.148	0	Melanocyte cells	GPNMB
ATP1A1	0	0.326719869020545	0.525	0.164	0	Melanocyte cells	ATP1A1
SDCBP	0	0.321153237316464	0.837	0.749	0	Melanocyte cells	SDCBP
KLF10	0	0.318368763940727	0.303	0.077	0	Melanocyte cells	KLF10
CAPN3	0	0.314875658668232	0.512	0.173	0	Melanocyte cells	CAPN3
SOD3	0	0.311867678185999	0.273	0.059	0	Melanocyte cells	SOD3
BANCR	0	0.310294288824554	0.293	0.077	0	Melanocyte cells	BANCR
TSPAN3	0	0.308710774213747	0.448	0.117	0	Melanocyte cells	TSPAN3
RPL7	0	0.307933135648221	0.994	0.91	0	Melanocyte cells	RPL7
GLMP	0	0.307714209321761	0.477	0.124	0	Melanocyte cells	GLMP
TRPM1	0	0.307596421845922	0.426	0.119	0	Melanocyte cells	TRPM1
SQSTM1	0	0.302990970638221	0.649	0.31	0	Melanocyte cells	SQSTM1
ASAH1	0	0.301790435328327	0.637	0.244	0	Melanocyte cells	ASAH1
MT-ND2	0	0.301782823617099	0.945	0.864	0	Melanocyte cells	MT-ND2
C11orf96	0	0.299296390777215	0.252	0.031	0	Melanocyte cells	C11orf96
MDK	0	0.298249784472453	0.307	0.069	0	Melanocyte cells	MDK
KLF4	0	0.297331839698147	0.273	0.057	0	Melanocyte cells	KLF4
CRYAB	0	0.296212441023147	0.49	0.218	0	Melanocyte cells	CRYAB
MTSS1	0	0.29566116698753	0.327	0.086	0	Melanocyte cells	MTSS1
TEX41	0	0.29002365583217	0.472	0.143	0	Melanocyte cells	TEX41
WSB1	0	0.288968012761115	0.477	0.159	0	Melanocyte cells	WSB1
MT-ND6	0	0.288392745193982	0.466	0.208	0	Melanocyte cells	MT-ND6
MT-ND5	0	0.287625325926595	0.937	0.862	0	Melanocyte cells	MT-ND5
CHCHD6	0	0.28669666165796	0.322	0.111	0	Melanocyte cells	CHCHD6
PDLIM3	0	0.28085274354277	0.26	0.069	0	Melanocyte cells	PDLIM3
RHOB	0	0.280364542597313	0.348	0.122	0	Melanocyte cells	RHOB
ACTG1	0	0.279727798721667	0.991	0.944	0	Melanocyte cells	ACTG1
BRD2	0	0.278844438553225	0.421	0.17	0	Melanocyte cells	BRD2
CYC1	0	0.275319857846143	0.533	0.197	0	Melanocyte cells	CYC1
SPTBN1	0	0.275262788817634	0.338	0.082	0	Melanocyte cells	SPTBN1
S100A13	0	0.275124152392934	0.541	0.186	0	Melanocyte cells	S100A13
BIRC7	0	0.273052615413354	0.383	0.099	0	Melanocyte cells	BIRC7
PTTG1IP	0	0.272651009798307	0.446	0.128	0	Melanocyte cells	PTTG1IP
PABPC1	0	0.271982495845673	0.985	0.913	0	Melanocyte cells	PABPC1
VMP1	0	0.269665006251328	0.385	0.103	0	Melanocyte cells	VMP1
P4HB	0	0.26797915290909	0.43	0.183	0	Melanocyte cells	P4HB
ILVBL	0	0.266724070030318	0.338	0.057	0	Melanocyte cells	ILVBL
HACD1	0	0.266356794306648	0.28	0.051	0	Melanocyte cells	HACD1
MYO10	0	0.266316548322701	0.435	0.111	0	Melanocyte cells	MYO10
MT-ND4	0	0.26611389893839	0.976	0.917	0	Melanocyte cells	MT-ND4
TSPAN10	0	0.264128700804812	0.253	0.032	0	Melanocyte cells	TSPAN10
TMEM147	0	0.263687675076126	0.491	0.15	0	Melanocyte cells	TMEM147
CKS2	0	0.263065848714877	0.291	0.126	0	Melanocyte cells	CKS2
CTSK	0	0.260556481293941	0.259	0.058	0	Melanocyte cells	CTSK
ZFP36L1	0	0.257966544650778	0.458	0.223	0	Melanocyte cells	ZFP36L1
ATP6V0C	0	0.254832073102843	0.617	0.275	0	Melanocyte cells	ATP6V0C
BST2	0	0.253948707372383	0.334	0.174	0	Melanocyte cells	BST2
RAB2A	0	0.252062240923887	0.513	0.189	0	Melanocyte cells	RAB2A
CRYL1	0	0.251353663653212	0.409	0.13	0	Melanocyte cells	CRYL1
IFITM1	1.53092768860822e-167	0.316876802121661	0.325	0.228	3.53077852823713e-163	Melanocyte cells	IFITM1
MTRNR2L8	1.02104474989161e-13	0.378430712890018	0.284	0.283	2.35483550667503e-09	Melanocyte cells	MTRNR2L8
RPS12	0	0.884347211892429	1	0.991	0	Melanocyte cells	RPS12
RPS6	0	0.687459968789585	1	0.985	0	Melanocyte cells	RPS6
RPS26	0	0.648516777799102	0.982	0.821	0	Melanocyte cells	RPS26
RPL32	0	0.643710046014904	0.999	0.985	0	Melanocyte cells	RPL32
RPL12	0	0.642108694084659	1	0.988	0	Melanocyte cells	RPL12
RPS23	0	0.576786731476069	1	0.987	0	Melanocyte cells	RPS23
RPL29	0	0.571092840575637	0.998	0.977	0	Melanocyte cells	RPL29
RPL34	0	0.56743236461481	0.999	0.971	0	Melanocyte cells	RPL34
RPL7A	0	0.55647459549482	0.999	0.981	0	Melanocyte cells	RPL7A
RPS13	0	0.555884018420798	1	0.985	0	Melanocyte cells	RPS13
RPL35	0	0.542681122711915	0.996	0.915	0	Melanocyte cells	RPL35
RPS25	0	0.541778189433834	0.996	0.968	0	Melanocyte cells	RPS25
RPL36	0	0.530264216035838	0.999	0.946	0	Melanocyte cells	RPL36
RPL15	0	0.525566519373149	0.997	0.97	0	Melanocyte cells	RPL15
RPL21	0	0.524459278932022	0.998	0.965	0	Melanocyte cells	RPL21
RPL35A	0	0.523122024187087	0.996	0.933	0	Melanocyte cells	RPL35A
RPS18	0	0.512509659612498	1	0.99	0	Melanocyte cells	RPS18
RPL37	0	0.507866303946835	0.999	0.957	0	Melanocyte cells	RPL37
RPS3A	0	0.507545737896236	1	0.989	0	Melanocyte cells	RPS3A
RPS24	0	0.503964904633963	1	0.984	0	Melanocyte cells	RPS24
ZFAS1	0	0.493570427315367	0.912	0.677	0	Melanocyte cells	ZFAS1
RPL18A	0	0.490627247274271	1	0.991	0	Melanocyte cells	RPL18A
RPS19	0	0.489338079715679	1	0.988	0	Melanocyte cells	RPS19
RPL13	0	0.486888410917578	1	0.996	0	Melanocyte cells	RPL13
RPL37A	0	0.484935331054883	0.999	0.942	0	Melanocyte cells	RPL37A
RPL14	0	0.48071651036229	0.998	0.962	0	Melanocyte cells	RPL14
RPS14	0	0.478502658217804	1	0.991	0	Melanocyte cells	RPS14
EEF1A1	0	0.475318132370317	1	0.997	0	Melanocyte cells	EEF1A1
RPL24	0	0.474101985321432	0.985	0.89	0	Melanocyte cells	RPL24
RPS28	0	0.471520163400882	0.999	0.97	0	Melanocyte cells	RPS28
RPS8	0	0.470268807499758	1	0.993	0	Melanocyte cells	RPS8
TPT1	0	0.468018693926123	1	0.992	0	Melanocyte cells	TPT1
RPL18	0	0.46509096903479	1	0.984	0	Melanocyte cells	RPL18
TOMM7	0	0.453281372368619	0.964	0.794	0	Melanocyte cells	TOMM7
RPL10A	0	0.451771893906801	0.999	0.952	0	Melanocyte cells	RPL10A
RPS7	0	0.448253112636678	1	0.983	0	Melanocyte cells	RPS7
RPS27A	0	0.433252396902748	1	0.991	0	Melanocyte cells	RPS27A
RPL39	0	0.4303195928164	0.999	0.967	0	Melanocyte cells	RPL39
GNB2L1	0	0.428609090094292	0.999	0.964	0	Melanocyte cells	GNB2L1
RPSA	0	0.427341461388765	0.971	0.831	0	Melanocyte cells	RPSA
RPS3	0	0.424956911604876	1	0.988	0	Melanocyte cells	RPS3
RPL3	0	0.421573984766666	1	0.986	0	Melanocyte cells	RPL3
RPS15	0	0.415400662622524	0.999	0.981	0	Melanocyte cells	RPS15
RPS9	0	0.412621936035465	0.999	0.975	0	Melanocyte cells	RPS9
RPS2	0	0.410031273406518	0.996	0.954	0	Melanocyte cells	RPS2
RPL5	0	0.407494787256095	0.998	0.956	0	Melanocyte cells	RPL5
SNHG71	0	0.403308938700967	0.489	0.267	0	Melanocyte cells	SNHG7
RPL38	0	0.403046330205184	0.952	0.772	0	Melanocyte cells	RPL38
RPL31	0	0.402825545246608	0.977	0.832	0	Melanocyte cells	RPL31
RPLP1	0	0.398538119302708	1	0.999	0	Melanocyte cells	RPLP1
RPLP2	0	0.388590372769798	0.997	0.952	0	Melanocyte cells	RPLP2
RPS4X	0	0.385167139623383	1	0.991	0	Melanocyte cells	RPS4X
MLANA1	0	0.379395099380101	0.955	0.689	0	Melanocyte cells	MLANA
RPS16	0	0.376803089225352	0.998	0.968	0	Melanocyte cells	RPS16
RPL9	0	0.358080618714906	1	0.979	0	Melanocyte cells	RPL9
RPL27A	0	0.355504585867336	0.961	0.805	0	Melanocyte cells	RPL27A
RPS21	0	0.353998603663576	0.988	0.9	0	Melanocyte cells	RPS21
COX7C	0	0.341193844532152	0.911	0.76	0	Melanocyte cells	COX7C
RPS5	0	0.338759145829435	0.998	0.962	0	Melanocyte cells	RPS5
PFDN5	0	0.316533291770281	0.964	0.864	0	Melanocyte cells	PFDN5
RPL23	0	0.316478888215183	0.695	0.57	0	Melanocyte cells	RPL23
RPL13A	0	0.314799414372618	0.997	0.946	0	Melanocyte cells	RPL13A
RPS15A	0	0.311826822606688	0.999	0.973	0	Melanocyte cells	RPS15A
RPL11	0	0.298446026321274	1	0.989	0	Melanocyte cells	RPL11
COX4I1	0	0.285287809040551	0.917	0.779	0	Melanocyte cells	COX4I1
EEF1B2	0	0.281926618158094	0.974	0.856	0	Melanocyte cells	EEF1B2
RPLP0	0	0.272985428715076	1	0.984	0	Melanocyte cells	RPLP0
FAU	0	0.27148995938694	0.995	0.964	0	Melanocyte cells	FAU
RPL27	0	0.270726653421619	0.957	0.867	0	Melanocyte cells	RPL27
RPL22	0	0.266023519823993	0.99	0.924	0	Melanocyte cells	RPL22
RPS27	0	0.262538030203764	0.998	0.966	0	Melanocyte cells	RPS27
RPL10	0	0.261971265806814	1	0.997	0	Melanocyte cells	RPL10
RPL19	0	0.260482179043467	1	0.992	0	Melanocyte cells	RPL19
NACA	0	0.25876968140494	0.995	0.95	0	Melanocyte cells	NACA
UBA52	0	0.258114449615506	0.986	0.922	0	Melanocyte cells	UBA52
RPL23A	0	0.258034176218251	0.996	0.968	0	Melanocyte cells	RPL23A
SNHG8	2.11888340138744e-221	0.3021121689856	0.436	0.371	4.88678078861985e-217	Melanocyte cells	SNHG8
CHCHD10	2.39538328656919e-181	0.270650385094375	0.388	0.313	5.52447247381452e-177	Melanocyte cells	CHCHD10
CCL5	0	2.06396761306448	0.785	0.022	0	CD8+ T cells	CCL5
NKG7	0	1.65350705254565	0.644	0.013	0	CD8+ T cells	NKG7
TMSB4X	0	1.6302907273569	0.992	0.404	0	CD8+ T cells	TMSB4X
CXCR4	0	1.57907919581389	0.839	0.048	0	CD8+ T cells	CXCR4
SRGN	0	1.54591042814002	0.932	0.11	0	CD8+ T cells	SRGN
HSPA1A	0	1.53756951437426	0.26	0.11	0	CD8+ T cells	HSPA1A
CST7	0	1.47782115209012	0.763	0.017	0	CD8+ T cells	CST7
BTG1	0	1.47636235846271	0.881	0.241	0	CD8+ T cells	BTG1
IL32	0	1.44615617192852	0.845	0.025	0	CD8+ T cells	IL32
ZFP36L2	0	1.37661941534816	0.687	0.117	0	CD8+ T cells	ZFP36L2
B2M	0	1.30852865162552	1	0.933	0	CD8+ T cells	B2M
HLA-B	0	1.28988185648404	0.995	0.796	0	CD8+ T cells	HLA-B
CD8A	0	1.25473640121262	0.595	0.01	0	CD8+ T cells	CD8A
GZMK	0	1.18716327569079	0.586	0.008	0	CD8+ T cells	GZMK
DUSP2	0	1.14623879590424	0.617	0.086	0	CD8+ T cells	DUSP2
CREM	0	1.14176085464739	0.743	0.084	0	CD8+ T cells	CREM
RGS1	0	1.11862943482905	0.701	0.062	0	CD8+ T cells	RGS1
CD3E	0	1.10100924266083	0.804	0.011	0	CD8+ T cells	CD3E
ARHGDIB	0	1.08877317269103	0.804	0.07	0	CD8+ T cells	ARHGDIB
TSC22D3	0	1.0883092045599	0.692	0.071	0	CD8+ T cells	TSC22D3
MTRNR2L81	0	1.08360998830621	0.511	0.247	0	CD8+ T cells	MTRNR2L8
HLA-C	0	1.07849275900768	0.991	0.794	0	CD8+ T cells	HLA-C
PTPRC	0	1.06005014760263	0.801	0.038	0	CD8+ T cells	PTPRC
DNAJB1	0	1.05886267509983	0.581	0.21	0	CD8+ T cells	DNAJB1
SARAF	0	1.04987870878417	0.855	0.24	0	CD8+ T cells	SARAF
CD7	0	0.99829649156134	0.637	0.009	0	CD8+ T cells	CD7
CD3D	0	0.993000302127615	0.735	0.01	0	CD8+ T cells	CD3D
CD52	0	0.990076499881081	0.638	0.025	0	CD8+ T cells	CD52
GZMA	0	0.986818037500349	0.615	0.008	0	CD8+ T cells	GZMA
ZFP36	0	0.974802751440661	0.821	0.387	0	CD8+ T cells	ZFP36
HLA-A	0	0.972079840437046	0.993	0.874	0	CD8+ T cells	HLA-A
IL7R	0	0.970373793685692	0.382	0.008	0	CD8+ T cells	IL7R
DUSP4	0	0.956858920848101	0.622	0.073	0	CD8+ T cells	DUSP4
TNFAIP3	0	0.954906178857034	0.72	0.057	0	CD8+ T cells	TNFAIP3
S100A4	0	0.88528600192422	0.656	0.107	0	CD8+ T cells	S100A4
CCL4	0	0.869244696030973	0.433	0.064	0	CD8+ T cells	CCL4
MTRNR2L12	0	0.843862336711144	0.731	0.625	0	CD8+ T cells	MTRNR2L12
ANXA1	0	0.843059735397463	0.346	0.059	0	CD8+ T cells	ANXA1
CORO1A	0	0.83212965454824	0.679	0.035	0	CD8+ T cells	CORO1A
SH3BGRL3	0	0.827376574687104	0.889	0.308	0	CD8+ T cells	SH3BGRL3
CD2	0	0.813768769806454	0.634	0.007	0	CD8+ T cells	CD2
NR4A2	0	0.813747949952535	0.643	0.144	0	CD8+ T cells	NR4A2
HLA-E	0	0.803061146170523	0.919	0.465	0	CD8+ T cells	HLA-E
UBC	0	0.77964720113226	0.872	0.622	0	CD8+ T cells	UBC
JUNB	0	0.773024840061263	0.825	0.631	0	CD8+ T cells	JUNB
TRBC2	0	0.765412025540563	0.579	0.01	0	CD8+ T cells	TRBC2
EZR	0	0.763167410359565	0.613	0.087	0	CD8+ T cells	EZR
TUBA4A	0	0.749272664592924	0.524	0.015	0	CD8+ T cells	TUBA4A
HCST	0	0.745386206486239	0.629	0.035	0	CD8+ T cells	HCST
RAC2	0	0.736271568176807	0.634	0.032	0	CD8+ T cells	RAC2
IL2RG	0	0.735338465227281	0.627	0.015	0	CD8+ T cells	IL2RG
CD69	0	0.734009655300473	0.491	0.011	0	CD8+ T cells	CD69
LAPTM5	0	0.728452237565874	0.7	0.074	0	CD8+ T cells	LAPTM5
LEPROTL1	0	0.723103395620048	0.607	0.049	0	CD8+ T cells	LEPROTL1
MALAT11	0	0.720963526521322	0.998	0.934	0	CD8+ T cells	MALAT1
DDIT4	0	0.715816954613159	0.567	0.072	0	CD8+ T cells	DDIT4
RGCC	0	0.714819148730322	0.401	0.038	0	CD8+ T cells	RGCC
CD8B	0	0.69446672531329	0.473	0.007	0	CD8+ T cells	CD8B
ZNF331	0	0.69344171982458	0.562	0.05	0	CD8+ T cells	ZNF331
ITM2A	0	0.669342616936976	0.517	0.018	0	CD8+ T cells	ITM2A
LSP1	0	0.662129288982748	0.614	0.042	0	CD8+ T cells	LSP1
CTSW	0	0.657836684124441	0.495	0.006	0	CD8+ T cells	CTSW
RARRES3	0	0.650363773922068	0.623	0.072	0	CD8+ T cells	RARRES3
YPEL5	0	0.649967887888171	0.597	0.085	0	CD8+ T cells	YPEL5
CD27	0	0.640628645306572	0.461	0.018	0	CD8+ T cells	CD27
DUSP1	0	0.632894559275787	0.519	0.133	0	CD8+ T cells	DUSP1
LTB	0	0.630226316195209	0.39	0.009	0	CD8+ T cells	LTB
ISG20	0	0.617278928380326	0.508	0.064	0	CD8+ T cells	ISG20
PFN1	0	0.612268173024162	0.962	0.801	0	CD8+ T cells	PFN1
LCP1	0	0.599178569624068	0.543	0.036	0	CD8+ T cells	LCP1
FAM177A1	0	0.598742834362288	0.489	0.082	0	CD8+ T cells	FAM177A1
IFITM11	0	0.598280365663658	0.668	0.188	0	CD8+ T cells	IFITM1
CALM1	0	0.597386690484181	0.772	0.336	0	CD8+ T cells	CALM1
TRBC1	0	0.596820524303655	0.34	0.005	0	CD8+ T cells	TRBC1
ACTB	0	0.588505336192961	0.997	0.939	0	CD8+ T cells	ACTB
EVL	0	0.584605496637693	0.526	0.024	0	CD8+ T cells	EVL
SLA	0	0.572841235802444	0.475	0.014	0	CD8+ T cells	SLA
RNF19A	0	0.572075797716233	0.499	0.032	0	CD8+ T cells	RNF19A
TXNIP	0	0.571810414521631	0.383	0.072	0	CD8+ T cells	TXNIP
MCL1	0	0.568813742490801	0.619	0.196	0	CD8+ T cells	MCL1
CD37	0	0.568051279060393	0.564	0.03	0	CD8+ T cells	CD37
STK17B	0	0.560000237617709	0.524	0.022	0	CD8+ T cells	STK17B
CYTIP	0	0.557898601280851	0.489	0.026	0	CD8+ T cells	CYTIP
PRF1	0	0.55548225795741	0.384	0.003	0	CD8+ T cells	PRF1
FYB	0	0.55462848075035	0.533	0.037	0	CD8+ T cells	FYB
PSMB9	0	0.544191189960969	0.593	0.118	0	CD8+ T cells	PSMB9
RPS271	0	0.541209368519928	0.986	0.971	0	CD8+ T cells	RPS27
TNFRSF1B	0	0.540660578534246	0.482	0.026	0	CD8+ T cells	TNFRSF1B
PIK3R1	0	0.538642384216886	0.438	0.023	0	CD8+ T cells	PIK3R1
HSPH1	0	0.530316885109536	0.294	0.069	0	CD8+ T cells	HSPH1
HSPE1	0	0.525856165068352	0.539	0.319	0	CD8+ T cells	HSPE1
SRSF7	0	0.523152642464237	0.619	0.182	0	CD8+ T cells	SRSF7
LIMD2	0	0.520824607819197	0.506	0.051	0	CD8+ T cells	LIMD2
SYTL3	0	0.518776623897665	0.444	0.007	0	CD8+ T cells	SYTL3
COTL1	0	0.516999533738625	0.438	0.073	0	CD8+ T cells	COTL1
LITAF	0	0.508341917843058	0.593	0.23	0	CD8+ T cells	LITAF
TMEM2	0	0.507070596774815	0.431	0.022	0	CD8+ T cells	TMEM2
NR3C1	0	0.504545580077761	0.418	0.052	0	CD8+ T cells	NR3C1
TRAC	0	0.498381258615103	0.385	0.006	0	CD8+ T cells	TRAC
LCK	0	0.494691254078276	0.468	0.006	0	CD8+ T cells	LCK
SRSF2	0	0.489892570940156	0.577	0.185	0	CD8+ T cells	SRSF2
TMSB10	0	0.489090324226	0.973	0.93	0	CD8+ T cells	TMSB10
IRF1	0	0.486673778458084	0.479	0.094	0	CD8+ T cells	IRF1
FYN	0	0.485383453800658	0.432	0.013	0	CD8+ T cells	FYN
PSME1	0	0.483787993095218	0.64	0.186	0	CD8+ T cells	PSME1
SPOCK2	0	0.481899276889015	0.39	0.004	0	CD8+ T cells	SPOCK2
WIPF1	0	0.476538205214605	0.48	0.026	0	CD8+ T cells	WIPF1
ELF1	0	0.471637349001027	0.5	0.068	0	CD8+ T cells	ELF1
STK4	0	0.467885400915789	0.477	0.038	0	CD8+ T cells	STK4
ARPC2	0	0.467631839263531	0.722	0.308	0	CD8+ T cells	ARPC2
CD3G	0	0.466665962022681	0.428	0.005	0	CD8+ T cells	CD3G
ITGB2	0	0.465832290282254	0.487	0.04	0	CD8+ T cells	ITGB2
PPP1R2	0	0.463683356197515	0.448	0.053	0	CD8+ T cells	PPP1R2
SH2D2A	0	0.45950000403104	0.414	0.006	0	CD8+ T cells	SH2D2A
OAZ1	0	0.457670581264036	0.857	0.568	0	CD8+ T cells	OAZ1
SUB1	0	0.448584210052156	0.7	0.285	0	CD8+ T cells	SUB1
MYH9	0	0.447380931565853	0.455	0.076	0	CD8+ T cells	MYH9
ITGA4	0	0.446972781595883	0.398	0.018	0	CD8+ T cells	ITGA4
FXYD5	0	0.444903157036661	0.568	0.187	0	CD8+ T cells	FXYD5
PNRC1	0	0.441268322335826	0.595	0.204	0	CD8+ T cells	PNRC1
SELK	0	0.438959212537507	0.546	0.123	0	CD8+ T cells	SELK
RGS2	0	0.438153351275738	0.382	0.051	0	CD8+ T cells	RGS2
DDX5	0	0.437197876631328	0.721	0.342	0	CD8+ T cells	DDX5
CNOT6L	0	0.436442404546534	0.408	0.023	0	CD8+ T cells	CNOT6L
ALOX5AP	0	0.436347588356823	0.363	0.02	0	CD8+ T cells	ALOX5AP
UCP2	0	0.435161770816008	0.433	0.044	0	CD8+ T cells	UCP2
LBH	0	0.434563916104938	0.418	0.035	0	CD8+ T cells	LBH
KLF6	0	0.429196473946036	0.482	0.146	0	CD8+ T cells	KLF6
GMFG	0	0.427054428067989	0.46	0.038	0	CD8+ T cells	GMFG
H3F3B	0	0.424842931186504	0.968	0.884	0	CD8+ T cells	H3F3B
GNG2	0	0.424194787878316	0.385	0.014	0	CD8+ T cells	GNG2
RHOH	0	0.421613842972211	0.4	0.016	0	CD8+ T cells	RHOH
