p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
NEAT1	0	0.328586389857501	0.663	0.308	0	0	NEAT1
SGK1	0	0.328487630403097	0.309	0.101	0	0	SGK1
RPL8	0	0.328328926146799	1	0.987	0	0	RPL8
GPNMB	0	0.326956244953185	0.506	0.148	0	0	GPNMB
ATP1A1	0	0.326719869020545	0.525	0.164	0	0	ATP1A1
SDCBP	0	0.321153237316464	0.837	0.749	0	0	SDCBP
KLF10	0	0.318368763940727	0.303	0.077	0	0	KLF10
CAPN3	0	0.314875658668232	0.512	0.173	0	0	CAPN3
SOD3	0	0.311867678185999	0.273	0.059	0	0	SOD3
BANCR	0	0.310294288824554	0.293	0.077	0	0	BANCR
TSPAN3	0	0.308710774213747	0.448	0.117	0	0	TSPAN3
RPL7	0	0.307933135648221	0.994	0.91	0	0	RPL7
GLMP	0	0.307714209321761	0.477	0.124	0	0	GLMP
TRPM1	0	0.307596421845922	0.426	0.119	0	0	TRPM1
SQSTM1	0	0.302990970638221	0.649	0.31	0	0	SQSTM1
ASAH1	0	0.301790435328327	0.637	0.244	0	0	ASAH1
MT-ND2	0	0.301782823617099	0.945	0.864	0	0	MT-ND2
C11orf96	0	0.299296390777215	0.252	0.031	0	0	C11orf96
MDK	0	0.298249784472453	0.307	0.069	0	0	MDK
KLF4	0	0.297331839698147	0.273	0.057	0	0	KLF4
CRYAB	0	0.296212441023147	0.49	0.218	0	0	CRYAB
MTSS1	0	0.29566116698753	0.327	0.086	0	0	MTSS1
TEX41	0	0.29002365583217	0.472	0.143	0	0	TEX41
WSB1	0	0.288968012761115	0.477	0.159	0	0	WSB1
MT-ND6	0	0.288392745193982	0.466	0.208	0	0	MT-ND6
MT-ND5	0	0.287625325926595	0.937	0.862	0	0	MT-ND5
CHCHD6	0	0.28669666165796	0.322	0.111	0	0	CHCHD6
PDLIM3	0	0.28085274354277	0.26	0.069	0	0	PDLIM3
RHOB	0	0.280364542597313	0.348	0.122	0	0	RHOB
ACTG1	0	0.279727798721667	0.991	0.944	0	0	ACTG1
BRD2	0	0.278844438553225	0.421	0.17	0	0	BRD2
CYC1	0	0.275319857846143	0.533	0.197	0	0	CYC1
SPTBN1	0	0.275262788817634	0.338	0.082	0	0	SPTBN1
S100A13	0	0.275124152392934	0.541	0.186	0	0	S100A13
BIRC7	0	0.273052615413354	0.383	0.099	0	0	BIRC7
PTTG1IP	0	0.272651009798307	0.446	0.128	0	0	PTTG1IP
PABPC1	0	0.271982495845673	0.985	0.913	0	0	PABPC1
VMP1	0	0.269665006251328	0.385	0.103	0	0	VMP1
P4HB	0	0.26797915290909	0.43	0.183	0	0	P4HB
ILVBL	0	0.266724070030318	0.338	0.057	0	0	ILVBL
HACD1	0	0.266356794306648	0.28	0.051	0	0	HACD1
MYO10	0	0.266316548322701	0.435	0.111	0	0	MYO10
MT-ND4	0	0.26611389893839	0.976	0.917	0	0	MT-ND4
TSPAN10	0	0.264128700804812	0.253	0.032	0	0	TSPAN10
TMEM147	0	0.263687675076126	0.491	0.15	0	0	TMEM147
CKS2	0	0.263065848714877	0.291	0.126	0	0	CKS2
CTSK	0	0.260556481293941	0.259	0.058	0	0	CTSK
ZFP36L1	0	0.257966544650778	0.458	0.223	0	0	ZFP36L1
ATP6V0C	0	0.254832073102843	0.617	0.275	0	0	ATP6V0C
BST2	0	0.253948707372383	0.334	0.174	0	0	BST2
RAB2A	0	0.252062240923887	0.513	0.189	0	0	RAB2A
CRYL1	0	0.251353663653212	0.409	0.13	0	0	CRYL1
IFITM1	1.53092768860822e-167	0.316876802121661	0.325	0.228	3.53077852823713e-163	0	IFITM1
MTRNR2L8	1.02104474989161e-13	0.378430712890018	0.284	0.283	2.35483550667503e-09	0	MTRNR2L8
RPS12	0	0.884347211892429	1	0.991	0	1	RPS12
RPS6	0	0.687459968789585	1	0.985	0	1	RPS6
RPS26	0	0.648516777799102	0.982	0.821	0	1	RPS26
RPL32	0	0.643710046014904	0.999	0.985	0	1	RPL32
RPL12	0	0.642108694084659	1	0.988	0	1	RPL12
RPS23	0	0.576786731476069	1	0.987	0	1	RPS23
RPL29	0	0.571092840575637	0.998	0.977	0	1	RPL29
RPL34	0	0.56743236461481	0.999	0.971	0	1	RPL34
RPL7A	0	0.55647459549482	0.999	0.981	0	1	RPL7A
RPS13	0	0.555884018420798	1	0.985	0	1	RPS13
RPL35	0	0.542681122711915	0.996	0.915	0	1	RPL35
RPS25	0	0.541778189433834	0.996	0.968	0	1	RPS25
RPL36	0	0.530264216035838	0.999	0.946	0	1	RPL36
RPL15	0	0.525566519373149	0.997	0.97	0	1	RPL15
RPL21	0	0.524459278932022	0.998	0.965	0	1	RPL21
RPL35A	0	0.523122024187087	0.996	0.933	0	1	RPL35A
RPS18	0	0.512509659612498	1	0.99	0	1	RPS18
RPL37	0	0.507866303946835	0.999	0.957	0	1	RPL37
RPS3A	0	0.507545737896236	1	0.989	0	1	RPS3A
RPS24	0	0.503964904633963	1	0.984	0	1	RPS24
ZFAS1	0	0.493570427315367	0.912	0.677	0	1	ZFAS1
RPL18A	0	0.490627247274271	1	0.991	0	1	RPL18A
RPS19	0	0.489338079715679	1	0.988	0	1	RPS19
RPL13	0	0.486888410917578	1	0.996	0	1	RPL13
RPL37A	0	0.484935331054883	0.999	0.942	0	1	RPL37A
RPL14	0	0.48071651036229	0.998	0.962	0	1	RPL14
RPS14	0	0.478502658217804	1	0.991	0	1	RPS14
EEF1A1	0	0.475318132370317	1	0.997	0	1	EEF1A1
RPL24	0	0.474101985321432	0.985	0.89	0	1	RPL24
RPS28	0	0.471520163400882	0.999	0.97	0	1	RPS28
RPS8	0	0.470268807499758	1	0.993	0	1	RPS8
TPT1	0	0.468018693926123	1	0.992	0	1	TPT1
RPL18	0	0.46509096903479	1	0.984	0	1	RPL18
TOMM7	0	0.453281372368619	0.964	0.794	0	1	TOMM7
RPL10A	0	0.451771893906801	0.999	0.952	0	1	RPL10A
RPS7	0	0.448253112636678	1	0.983	0	1	RPS7
RPS27A	0	0.433252396902748	1	0.991	0	1	RPS27A
RPL39	0	0.4303195928164	0.999	0.967	0	1	RPL39
GNB2L1	0	0.428609090094292	0.999	0.964	0	1	GNB2L1
RPSA	0	0.427341461388765	0.971	0.831	0	1	RPSA
RPS3	0	0.424956911604876	1	0.988	0	1	RPS3
RPL3	0	0.421573984766666	1	0.986	0	1	RPL3
RPS15	0	0.415400662622524	0.999	0.981	0	1	RPS15
RPS9	0	0.412621936035465	0.999	0.975	0	1	RPS9
RPS2	0	0.410031273406518	0.996	0.954	0	1	RPS2
RPL5	0	0.407494787256095	0.998	0.956	0	1	RPL5
SNHG71	0	0.403308938700967	0.489	0.267	0	1	SNHG7
RPL38	0	0.403046330205184	0.952	0.772	0	1	RPL38
RPL31	0	0.402825545246608	0.977	0.832	0	1	RPL31
RPLP1	0	0.398538119302708	1	0.999	0	1	RPLP1
RPLP2	0	0.388590372769798	0.997	0.952	0	1	RPLP2
RPS4X	0	0.385167139623383	1	0.991	0	1	RPS4X
MLANA1	0	0.379395099380101	0.955	0.689	0	1	MLANA
RPS16	0	0.376803089225352	0.998	0.968	0	1	RPS16
RPL9	0	0.358080618714906	1	0.979	0	1	RPL9
RPL27A	0	0.355504585867336	0.961	0.805	0	1	RPL27A
RPS21	0	0.353998603663576	0.988	0.9	0	1	RPS21
COX7C	0	0.341193844532152	0.911	0.76	0	1	COX7C
RPS5	0	0.338759145829435	0.998	0.962	0	1	RPS5
PFDN5	0	0.316533291770281	0.964	0.864	0	1	PFDN5
RPL23	0	0.316478888215183	0.695	0.57	0	1	RPL23
RPL13A	0	0.314799414372618	0.997	0.946	0	1	RPL13A
RPS15A	0	0.311826822606688	0.999	0.973	0	1	RPS15A
RPL11	0	0.298446026321274	1	0.989	0	1	RPL11
COX4I1	0	0.285287809040551	0.917	0.779	0	1	COX4I1
EEF1B2	0	0.281926618158094	0.974	0.856	0	1	EEF1B2
RPLP0	0	0.272985428715076	1	0.984	0	1	RPLP0
FAU	0	0.27148995938694	0.995	0.964	0	1	FAU
RPL27	0	0.270726653421619	0.957	0.867	0	1	RPL27
RPL22	0	0.266023519823993	0.99	0.924	0	1	RPL22
RPS27	0	0.262538030203764	0.998	0.966	0	1	RPS27
RPL10	0	0.261971265806814	1	0.997	0	1	RPL10
RPL19	0	0.260482179043467	1	0.992	0	1	RPL19
NACA	0	0.25876968140494	0.995	0.95	0	1	NACA
UBA52	0	0.258114449615506	0.986	0.922	0	1	UBA52
RPL23A	0	0.258034176218251	0.996	0.968	0	1	RPL23A
SNHG8	2.11888340138744e-221	0.3021121689856	0.436	0.371	4.88678078861985e-217	1	SNHG8
CHCHD10	2.39538328656919e-181	0.270650385094375	0.388	0.313	5.52447247381452e-177	1	CHCHD10
CCL5	0	2.06396761306448	0.785	0.022	0	2	CCL5
NKG7	0	1.65350705254565	0.644	0.013	0	2	NKG7
TMSB4X	0	1.6302907273569	0.992	0.404	0	2	TMSB4X
CXCR4	0	1.57907919581389	0.839	0.048	0	2	CXCR4
SRGN	0	1.54591042814002	0.932	0.11	0	2	SRGN
HSPA1A	0	1.53756951437426	0.26	0.11	0	2	HSPA1A
CST7	0	1.47782115209012	0.763	0.017	0	2	CST7
BTG1	0	1.47636235846271	0.881	0.241	0	2	BTG1
IL32	0	1.44615617192852	0.845	0.025	0	2	IL32
ZFP36L2	0	1.37661941534816	0.687	0.117	0	2	ZFP36L2
B2M	0	1.30852865162552	1	0.933	0	2	B2M
HLA-B	0	1.28988185648404	0.995	0.796	0	2	HLA-B
CD8A	0	1.25473640121262	0.595	0.01	0	2	CD8A
GZMK	0	1.18716327569079	0.586	0.008	0	2	GZMK
DUSP2	0	1.14623879590424	0.617	0.086	0	2	DUSP2
CREM	0	1.14176085464739	0.743	0.084	0	2	CREM
RGS1	0	1.11862943482905	0.701	0.062	0	2	RGS1
CD3E	0	1.10100924266083	0.804	0.011	0	2	CD3E
ARHGDIB	0	1.08877317269103	0.804	0.07	0	2	ARHGDIB
TSC22D3	0	1.0883092045599	0.692	0.071	0	2	TSC22D3
MTRNR2L81	0	1.08360998830621	0.511	0.247	0	2	MTRNR2L8
HLA-C	0	1.07849275900768	0.991	0.794	0	2	HLA-C
PTPRC	0	1.06005014760263	0.801	0.038	0	2	PTPRC
DNAJB1	0	1.05886267509983	0.581	0.21	0	2	DNAJB1
SARAF	0	1.04987870878417	0.855	0.24	0	2	SARAF
CD7	0	0.99829649156134	0.637	0.009	0	2	CD7
CD3D	0	0.993000302127615	0.735	0.01	0	2	CD3D
CD52	0	0.990076499881081	0.638	0.025	0	2	CD52
GZMA	0	0.986818037500349	0.615	0.008	0	2	GZMA
ZFP36	0	0.974802751440661	0.821	0.387	0	2	ZFP36
HLA-A	0	0.972079840437046	0.993	0.874	0	2	HLA-A
IL7R	0	0.970373793685692	0.382	0.008	0	2	IL7R
DUSP4	0	0.956858920848101	0.622	0.073	0	2	DUSP4
TNFAIP3	0	0.954906178857034	0.72	0.057	0	2	TNFAIP3
S100A4	0	0.88528600192422	0.656	0.107	0	2	S100A4
CCL4	0	0.869244696030973	0.433	0.064	0	2	CCL4
MTRNR2L12	0	0.843862336711144	0.731	0.625	0	2	MTRNR2L12
ANXA1	0	0.843059735397463	0.346	0.059	0	2	ANXA1
CORO1A	0	0.83212965454824	0.679	0.035	0	2	CORO1A
SH3BGRL3	0	0.827376574687104	0.889	0.308	0	2	SH3BGRL3
CD2	0	0.813768769806454	0.634	0.007	0	2	CD2
NR4A2	0	0.813747949952535	0.643	0.144	0	2	NR4A2
HLA-E	0	0.803061146170523	0.919	0.465	0	2	HLA-E
UBC	0	0.77964720113226	0.872	0.622	0	2	UBC
JUNB	0	0.773024840061263	0.825	0.631	0	2	JUNB
TRBC2	0	0.765412025540563	0.579	0.01	0	2	TRBC2
EZR	0	0.763167410359565	0.613	0.087	0	2	EZR
TUBA4A	0	0.749272664592924	0.524	0.015	0	2	TUBA4A
HCST	0	0.745386206486239	0.629	0.035	0	2	HCST
RAC2	0	0.736271568176807	0.634	0.032	0	2	RAC2
IL2RG	0	0.735338465227281	0.627	0.015	0	2	IL2RG
CD69	0	0.734009655300473	0.491	0.011	0	2	CD69
LAPTM5	0	0.728452237565874	0.7	0.074	0	2	LAPTM5
LEPROTL1	0	0.723103395620048	0.607	0.049	0	2	LEPROTL1
MALAT11	0	0.720963526521322	0.998	0.934	0	2	MALAT1
DDIT4	0	0.715816954613159	0.567	0.072	0	2	DDIT4
RGCC	0	0.714819148730322	0.401	0.038	0	2	RGCC
CD8B	0	0.69446672531329	0.473	0.007	0	2	CD8B
ZNF331	0	0.69344171982458	0.562	0.05	0	2	ZNF331
ITM2A	0	0.669342616936976	0.517	0.018	0	2	ITM2A
LSP1	0	0.662129288982748	0.614	0.042	0	2	LSP1
CTSW	0	0.657836684124441	0.495	0.006	0	2	CTSW
RARRES3	0	0.650363773922068	0.623	0.072	0	2	RARRES3
YPEL5	0	0.649967887888171	0.597	0.085	0	2	YPEL5
CD27	0	0.640628645306572	0.461	0.018	0	2	CD27
DUSP1	0	0.632894559275787	0.519	0.133	0	2	DUSP1
LTB	0	0.630226316195209	0.39	0.009	0	2	LTB
ISG20	0	0.617278928380326	0.508	0.064	0	2	ISG20
PFN1	0	0.612268173024162	0.962	0.801	0	2	PFN1
LCP1	0	0.599178569624068	0.543	0.036	0	2	LCP1
FAM177A1	0	0.598742834362288	0.489	0.082	0	2	FAM177A1
IFITM11	0	0.598280365663658	0.668	0.188	0	2	IFITM1
CALM1	0	0.597386690484181	0.772	0.336	0	2	CALM1
TRBC1	0	0.596820524303655	0.34	0.005	0	2	TRBC1
ACTB	0	0.588505336192961	0.997	0.939	0	2	ACTB
EVL	0	0.584605496637693	0.526	0.024	0	2	EVL
SLA	0	0.572841235802444	0.475	0.014	0	2	SLA
RNF19A	0	0.572075797716233	0.499	0.032	0	2	RNF19A
TXNIP	0	0.571810414521631	0.383	0.072	0	2	TXNIP
MCL1	0	0.568813742490801	0.619	0.196	0	2	MCL1
CD37	0	0.568051279060393	0.564	0.03	0	2	CD37
STK17B	0	0.560000237617709	0.524	0.022	0	2	STK17B
CYTIP	0	0.557898601280851	0.489	0.026	0	2	CYTIP
PRF1	0	0.55548225795741	0.384	0.003	0	2	PRF1
FYB	0	0.55462848075035	0.533	0.037	0	2	FYB
PSMB9	0	0.544191189960969	0.593	0.118	0	2	PSMB9
RPS271	0	0.541209368519928	0.986	0.971	0	2	RPS27
TNFRSF1B	0	0.540660578534246	0.482	0.026	0	2	TNFRSF1B
PIK3R1	0	0.538642384216886	0.438	0.023	0	2	PIK3R1
HSPH1	0	0.530316885109536	0.294	0.069	0	2	HSPH1
HSPE1	0	0.525856165068352	0.539	0.319	0	2	HSPE1
SRSF7	0	0.523152642464237	0.619	0.182	0	2	SRSF7
LIMD2	0	0.520824607819197	0.506	0.051	0	2	LIMD2
SYTL3	0	0.518776623897665	0.444	0.007	0	2	SYTL3
COTL1	0	0.516999533738625	0.438	0.073	0	2	COTL1
LITAF	0	0.508341917843058	0.593	0.23	0	2	LITAF
TMEM2	0	0.507070596774815	0.431	0.022	0	2	TMEM2
NR3C1	0	0.504545580077761	0.418	0.052	0	2	NR3C1
TRAC	0	0.498381258615103	0.385	0.006	0	2	TRAC
LCK	0	0.494691254078276	0.468	0.006	0	2	LCK
SRSF2	0	0.489892570940156	0.577	0.185	0	2	SRSF2
TMSB10	0	0.489090324226	0.973	0.93	0	2	TMSB10
IRF1	0	0.486673778458084	0.479	0.094	0	2	IRF1
FYN	0	0.485383453800658	0.432	0.013	0	2	FYN
PSME1	0	0.483787993095218	0.64	0.186	0	2	PSME1
SPOCK2	0	0.481899276889015	0.39	0.004	0	2	SPOCK2
WIPF1	0	0.476538205214605	0.48	0.026	0	2	WIPF1
ELF1	0	0.471637349001027	0.5	0.068	0	2	ELF1
STK4	0	0.467885400915789	0.477	0.038	0	2	STK4
ARPC2	0	0.467631839263531	0.722	0.308	0	2	ARPC2
CD3G	0	0.466665962022681	0.428	0.005	0	2	CD3G
ITGB2	0	0.465832290282254	0.487	0.04	0	2	ITGB2
PPP1R2	0	0.463683356197515	0.448	0.053	0	2	PPP1R2
SH2D2A	0	0.45950000403104	0.414	0.006	0	2	SH2D2A
OAZ1	0	0.457670581264036	0.857	0.568	0	2	OAZ1
SUB1	0	0.448584210052156	0.7	0.285	0	2	SUB1
MYH9	0	0.447380931565853	0.455	0.076	0	2	MYH9
ITGA4	0	0.446972781595883	0.398	0.018	0	2	ITGA4
FXYD5	0	0.444903157036661	0.568	0.187	0	2	FXYD5
PNRC1	0	0.441268322335826	0.595	0.204	0	2	PNRC1
SELK	0	0.438959212537507	0.546	0.123	0	2	SELK
RGS2	0	0.438153351275738	0.382	0.051	0	2	RGS2
DDX5	0	0.437197876631328	0.721	0.342	0	2	DDX5
CNOT6L	0	0.436442404546534	0.408	0.023	0	2	CNOT6L
ALOX5AP	0	0.436347588356823	0.363	0.02	0	2	ALOX5AP
UCP2	0	0.435161770816008	0.433	0.044	0	2	UCP2
LBH	0	0.434563916104938	0.418	0.035	0	2	LBH
KLF6	0	0.429196473946036	0.482	0.146	0	2	KLF6
GMFG	0	0.427054428067989	0.46	0.038	0	2	GMFG
H3F3B	0	0.424842931186504	0.968	0.884	0	2	H3F3B
GNG2	0	0.424194787878316	0.385	0.014	0	2	GNG2
RHOH	0	0.421613842972211	0.4	0.016	0	2	RHOH
TNFRSF9	0	0.418368745370945	0.293	0.004	0	2	TNFRSF9
LAG3	0	0.414660239329439	0.32	0.009	0	2	LAG3
PRKCH	0	0.414575798923612	0.405	0.013	0	2	PRKCH
MBNL1	0	0.408041953821287	0.455	0.06	0	2	MBNL1
CD48	0	0.405940415851043	0.409	0.022	0	2	CD48
ADGRE5	0	0.404925724868188	0.366	0.03	0	2	ADGRE5
STAT1	0	0.403504777815208	0.436	0.109	0	2	STAT1
MYL12A	0	0.403320661697865	0.667	0.321	0	2	MYL12A
LYST	0	0.402912868496253	0.382	0.056	0	2	LYST
TIGIT	0	0.397430535400287	0.316	0.004	0	2	TIGIT
HLA-F	0	0.397310584921436	0.466	0.075	0	2	HLA-F
CDC42SE2	0	0.393877907757781	0.404	0.027	0	2	CDC42SE2
CYBA	0	0.393712157560232	0.571	0.163	0	2	CYBA
CMC1	0	0.391853686987366	0.291	0.039	0	2	CMC1
SLC2A3	0	0.391625697736854	0.387	0.082	0	2	SLC2A3
SLC38A1	0	0.389471743931022	0.384	0.012	0	2	SLC38A1
CLEC2B	0	0.387299137904749	0.37	0.043	0	2	CLEC2B
CD99	0	0.385044166876188	0.6	0.23	0	2	CD99
LINC-PINT	0	0.383423660745504	0.371	0.032	0	2	LINC-PINT
CBLB	0	0.378318591110947	0.362	0.012	0	2	CBLB
TRAT1	0	0.374646744007826	0.342	0.003	0	2	TRAT1
RPS29	0	0.373255773274696	0.783	0.759	0	2	RPS29
YWHAB	0	0.366153973253385	0.61	0.271	0	2	YWHAB
SMCHD1	0	0.366067336779815	0.368	0.045	0	2	SMCHD1
CLEC2D	0	0.365334941553258	0.345	0.009	0	2	CLEC2D
SAMSN1	0	0.364882792293834	0.347	0.025	0	2	SAMSN1
HCLS1	0	0.364000152884786	0.405	0.039	0	2	HCLS1
KMT2E	0	0.363995154426621	0.453	0.101	0	2	KMT2E
MSN	0	0.361587941475046	0.414	0.078	0	2	MSN
BIRC3	0	0.359900265092988	0.329	0.032	0	2	BIRC3
CRIP1	0	0.358197484278192	0.332	0.01	0	2	CRIP1
CDKN1B	0	0.358111202056731	0.377	0.039	0	2	CDKN1B
JAK1	0	0.351752597342238	0.406	0.06	0	2	JAK1
APOBEC3G	0	0.351318458103035	0.313	0.017	0	2	APOBEC3G
CD96	0	0.350951221831602	0.34	0.004	0	2	CD96
CD53	0	0.350402103588517	0.369	0.027	0	2	CD53
ARL6IP5	0	0.344728648133287	0.428	0.1	0	2	ARL6IP5
CD247	0	0.344642327100516	0.325	0.003	0	2	CD247
SEPT1	0	0.341673860010571	0.35	0.012	0	2	SEPT1
HMGB2	0	0.340188719093519	0.345	0.038	0	2	HMGB2
ID2	0	0.339214507703493	0.357	0.102	0	2	ID2
GPSM3	0	0.336449115196541	0.416	0.083	0	2	GPSM3
ARHGAP9	0	0.335224316805306	0.328	0.008	0	2	ARHGAP9
PTPN22	0	0.335050167717452	0.316	0.006	0	2	PTPN22
PTPN7	0	0.33349215658138	0.32	0.006	0	2	PTPN7
EML4	0	0.333484957680186	0.339	0.034	0	2	EML4
CLIC1	0	0.332398195846753	0.607	0.289	0	2	CLIC1
TMA7	0	0.331789071031865	0.656	0.324	0	2	TMA7
PARP8	0	0.331221596304702	0.3	0.012	0	2	PARP8
PSME2	0	0.329216494654708	0.489	0.152	0	2	PSME2
TSPYL2	0	0.327684581166738	0.295	0.037	0	2	TSPYL2
PDE4B	0	0.327474137199737	0.331	0.041	0	2	PDE4B
ACAP1	0	0.327029804577024	0.332	0.006	0	2	ACAP1
DAZAP2	0	0.326923452165381	0.549	0.203	0	2	DAZAP2
REL	0	0.325066027166032	0.348	0.078	0	2	REL
CALR	0	0.324131271837148	0.562	0.266	0	2	CALR
RUNX3	0	0.323968634936251	0.305	0.009	0	2	RUNX3
TERF2IP	0	0.323915513606573	0.395	0.085	0	2	TERF2IP
IDS	0	0.323230808046122	0.36	0.056	0	2	IDS
ARID4B	0	0.323219317679156	0.357	0.046	0	2	ARID4B
PPP2R5C	0	0.323063636547678	0.336	0.028	0	2	PPP2R5C
IL10RA	0	0.319162654621586	0.32	0.026	0	2	IL10RA
TAPBP	0	0.318409356442312	0.398	0.083	0	2	TAPBP
AKAP13	0	0.318296421105363	0.356	0.061	0	2	AKAP13
ARL4C	0	0.318050602820175	0.33	0.029	0	2	ARL4C
DNAJA1	0	0.317759873000402	0.427	0.195	0	2	DNAJA1
CNN2	0	0.317559088605022	0.352	0.058	0	2	CNN2
KIAA1551	0	0.316915311202704	0.318	0.022	0	2	KIAA1551
LAT	0	0.31645837225055	0.303	0.004	0	2	LAT
SEPT6	0	0.316311654763723	0.333	0.025	0	2	SEPT6
GPR65	0	0.315129770335834	0.297	0.013	0	2	GPR65
EMB	0	0.314264981837831	0.32	0.013	0	2	EMB
